user_id,user_profile,room_type,season,day_type,booking_advance_days,stay_duration_nights,group_size,user_rating,was_booked,view_time_seconds,compatibility_score
7,business_traveler,Business Room,spring,weekend,3,3,7,2,0,265,0.295
30,group_friends,Junior Suite,winter,weekend,14,5,3,2,0,180,0.308
766,budget_conscious,Executive Suite,fall,weekend,7,4,7,2,1,202,0.369
190,luxury_seeker,Family Suite,fall,weekday,3,1,4,3,0,309,0.471
478,group_friends,Family Suite,winter,weekend,3,5,2,3,0,204,0.421
160,couple_romantic,Standard Room,summer,weekend,90,2,3,2,1,61,0.314
270,couple_romantic,Executive Suite,fall,weekday,30,2,7,2,0,199,0.357
406,business_traveler,Presidential Suite,spring,weekday,7,7,4,4,1,196,0.657
746,family_vacation,Deluxe Room,fall,weekend,1,1,1,3,0,313,0.444
967,business_traveler,Presidential Suite,winter,weekday,14,3,1,3,1,153,0.564
440,luxury_seeker,Executive Suite,summer,weekday,60,2,8,4,0,255,0.729
989,budget_conscious,Presidential Suite,spring,weekday,14,2,1,2,0,191,0.24
941,family_vacation,Deluxe Room,summer,weekday,90,5,4,3,1,55,0.38
947,budget_conscious,Deluxe Room,spring,weekday,30,3,2,3,0,179,0.393
600,group_friends,Family Suite,winter,weekday,14,4,8,3,1,176,0.541
69,couple_romantic,Presidential Suite,spring,weekend,7,3,5,3,0,177,0.561
937,family_vacation,Presidential Suite,spring,weekend,90,4,6,4,1,129,0.659
827,solo_traveler,Family Suite,fall,weekday,7,2,6,2,0,317,0.336
198,group_friends,Deluxe Room,winter,weekend,90,1,1,2,1,256,0.371
611,group_friends,Business Room,summer,weekday,1,2,1,3,1,244,0.384
476,family_vacation,Presidential Suite,fall,weekend,30,7,6,3,0,272,0.61
21,luxury_seeker,Deluxe Room,spring,weekday,30,3,8,3,1,171,0.444
946,group_friends,Presidential Suite,summer,weekday,30,6,1,3,1,254,0.594
407,budget_conscious,Executive Suite,spring,weekday,90,2,5,3,0,214,0.48
466,couple_romantic,Deluxe Room,spring,weekday,60,4,1,2,0,250,0.247
371,business_traveler,Junior Suite,winter,weekday,90,6,7,3,0,73,0.513
743,solo_traveler,Executive Suite,winter,weekday,7,4,4,3,0,107,0.48
64,family_vacation,Standard Room,summer,weekday,3,4,7,2,1,55,0.365
313,couple_romantic,Standard Room,winter,weekday,14,5,1,3,0,310,0.392
486,budget_conscious,Business Room,fall,weekday,60,7,5,2,1,269,0.301
25,family_vacation,Business Room,winter,weekday,3,7,7,2,0,31,0.195
718,luxury_seeker,Executive Suite,spring,weekday,60,1,8,3,1,57,0.47
149,business_traveler,Presidential Suite,winter,weekend,14,1,7,3,1,133,0.55
777,couple_romantic,Business Room,spring,weekday,3,1,8,2,0,201,0.3
116,family_vacation,Presidential Suite,winter,weekday,1,5,3,3,0,258,0.406
202,couple_romantic,Deluxe Room,fall,weekend,1,1,7,2,1,145,0.362
695,business_traveler,Family Suite,summer,weekday,1,7,1,3,1,229,0.484
792,budget_conscious,Executive Suite,summer,weekday,1,6,3,3,0,118,0.484
71,family_vacation,Standard Room,summer,weekend,90,7,1,2,1,259,0.25
249,group_friends,Executive Suite,winter,weekend,1,2,3,3,0,122,0.406
225,luxury_seeker,Standard Room,summer,weekday,90,1,2,2,0,210,0.283
564,business_traveler,Junior Suite,winter,weekend,3,3,8,3,0,238,0.394
262,couple_romantic,Junior Suite,summer,weekday,1,1,2,2,0,132,0.316
872,business_traveler,Junior Suite,spring,weekday,60,3,6,4,1,171,0.629
813,group_friends,Family Suite,spring,weekday,1,6,6,3,0,48,0.596
446,group_friends,Deluxe Room,fall,weekend,7,4,3,2,1,234,0.304
341,group_friends,Business Room,fall,weekday,60,1,3,2,1,323,0.343
965,budget_conscious,Junior Suite,summer,weekend,1,6,4,3,1,186,0.551
513,budget_conscious,Business Room,fall,weekday,1,4,3,2,1,44,0.359
1000,group_friends,Deluxe Room,fall,weekend,1,1,2,3,1,119,0.391
930,budget_conscious,Deluxe Room,winter,weekend,3,3,7,2,0,186,0.25
134,budget_conscious,Presidential Suite,winter,weekend,7,6,1,2,0,154,0.33
346,family_vacation,Family Suite,winter,weekday,90,5,8,3,0,141,0.539
133,group_friends,Presidential Suite,spring,weekend,90,2,2,4,1,235,0.628
792,family_vacation,Business Room,fall,weekday,7,7,3,2,0,173,0.337
453,budget_conscious,Business Room,spring,weekday,1,6,3,2,0,236,0.221
321,solo_traveler,Deluxe Room,spring,weekend,60,6,6,2,0,70,0.306
989,group_friends,Business Room,winter,weekend,7,6,6,3,0,103,0.384
591,family_vacation,Junior Suite,summer,weekday,3,1,5,4,1,325,0.633
619,luxury_seeker,Executive Suite,fall,weekend,90,3,3,3,1,35,0.502
621,group_friends,Family Suite,fall,weekday,7,7,3,3,0,104,0.481
265,business_traveler,Business Room,winter,weekday,7,3,5,3,0,144,0.589
145,couple_romantic,Deluxe Room,summer,weekend,30,1,4,2,1,178,0.364
921,business_traveler,Business Room,spring,weekday,90,4,1,3,0,305,0.455
298,luxury_seeker,Deluxe Room,fall,weekend,90,4,6,2,0,242,0.372
965,business_traveler,Deluxe Room,spring,weekday,1,3,1,3,0,89,0.51
153,family_vacation,Family Suite,fall,weekend,3,3,4,3,1,241,0.576
673,group_friends,Family Suite,fall,weekday,1,2,1,2,1,110,0.35
789,group_friends,Deluxe Room,spring,weekday,90,2,3,3,0,220,0.383
652,group_friends,Executive Suite,spring,weekday,3,7,2,3,0,218,0.482
821,luxury_seeker,Business Room,fall,weekend,60,1,1,2,1,185,0.325
517,solo_traveler,Executive Suite,spring,weekday,60,3,2,2,0,160,0.323
600,couple_romantic,Deluxe Room,fall,weekend,3,2,2,3,1,71,0.435
277,budget_conscious,Presidential Suite,fall,weekend,14,4,4,3,1,127,0.388
300,family_vacation,Junior Suite,winter,weekday,30,3,6,3,0,276,0.425
819,solo_traveler,Junior Suite,spring,weekend,14,4,6,3,0,43,0.411
119,group_friends,Deluxe Room,fall,weekday,3,5,3,3,1,285,0.416
613,budget_conscious,Presidential Suite,fall,weekend,14,6,1,3,1,237,0.396
1,family_vacation,Deluxe Room,spring,weekend,30,5,3,2,0,49,0.312
384,family_vacation,Business Room,fall,weekday,30,1,1,2,0,273,0.249
452,business_traveler,Deluxe Room,spring,weekend,30,5,7,3,1,48,0.378
792,budget_conscious,Junior Suite,winter,weekday,60,4,7,2,0,220,0.322
665,business_traveler,Standard Room,summer,weekend,3,6,3,2,1,181,0.343
528,business_traveler,Business Room,spring,weekday,7,3,1,3,0,109,0.394
265,budget_conscious,Deluxe Room,fall,weekend,14,6,8,2,0,142,0.332
871,solo_traveler,Executive Suite,spring,weekday,3,4,3,2,1,117,0.354
699,solo_traveler,Junior Suite,summer,weekend,1,3,3,3,0,273,0.439
249,family_vacation,Deluxe Room,summer,weekend,60,4,3,2,0,80,0.336
406,budget_conscious,Business Room,summer,weekday,90,4,8,2,0,145,0.293
880,business_traveler,Standard Room,summer,weekday,90,7,3,3,0,199,0.385
829,solo_traveler,Presidential Suite,spring,weekday,7,3,8,2,1,145,0.361
911,budget_conscious,Standard Room,winter,weekday,90,6,1,2,0,244,0.354
629,luxury_seeker,Presidential Suite,summer,weekday,7,7,4,4,0,290,0.734
517,couple_romantic,Junior Suite,fall,weekend,60,1,7,3,1,303,0.439
820,luxury_seeker,Deluxe Room,fall,weekday,3,7,8,3,1,286,0.423
509,solo_traveler,Deluxe Room,summer,weekend,3,7,6,2,0,238,0.29
696,solo_traveler,Family Suite,spring,weekday,60,6,3,2,0,99,0.192
486,group_friends,Deluxe Room,summer,weekday,14,5,4,3,0,138,0.429
247,group_friends,Business Room,winter,weekday,30,1,8,2,0,223,0.289
133,solo_traveler,Family Suite,spring,weekday,1,7,2,2,1,111,0.198
53,family_vacation,Presidential Suite,spring,weekend,90,5,2,3,1,111,0.605
976,couple_romantic,Family Suite,fall,weekend,14,2,8,3,0,77,0.537
854,family_vacation,Executive Suite,spring,weekday,7,1,4,3,0,92,0.558
691,luxury_seeker,Business Room,fall,weekday,1,7,7,2,1,66,0.365
992,couple_romantic,Business Room,spring,weekday,7,2,1,2,0,158,0.166
927,business_traveler,Executive Suite,fall,weekend,7,1,3,2,0,158,0.31
611,budget_conscious,Deluxe Room,winter,weekday,3,6,4,2,0,251,0.325
736,business_traveler,Presidential Suite,winter,weekend,90,2,3,3,1,73,0.541
374,budget_conscious,Presidential Suite,fall,weekend,30,2,4,3,0,102,0.489
978,solo_traveler,Standard Room,winter,weekday,30,3,6,2,0,113,0.354
454,solo_traveler,Junior Suite,fall,weekday,7,7,6,3,0,296,0.448
948,business_traveler,Business Room,winter,weekday,14,2,8,3,1,261,0.572
593,group_friends,Junior Suite,fall,weekend,60,2,3,2,1,208,0.348
226,group_friends,Family Suite,fall,weekend,90,3,5,3,0,277,0.556
665,budget_conscious,Business Room,winter,weekday,90,3,8,2,1,218,0.222
645,family_vacation,Executive Suite,summer,weekend,90,4,7,3,0,259,0.61
446,budget_conscious,Family Suite,summer,weekday,90,6,7,4,0,268,0.627
474,solo_traveler,Executive Suite,fall,weekend,3,1,2,2,0,89,0.21
542,solo_traveler,Junior Suite,winter,weekend,90,1,4,2,1,76,0.342
472,budget_conscious,Executive Suite,winter,weekday,90,7,6,2,0,185,0.321
874,group_friends,Junior Suite,fall,weekend,7,1,1,2,0,249,0.303
792,budget_conscious,Standard Room,spring,weekday,7,1,7,2,0,304,0.278
899,solo_traveler,Presidential Suite,fall,weekend,1,6,8,3,0,164,0.463
762,solo_traveler,Junior Suite,fall,weekday,14,4,8,3,0,190,0.441
631,family_vacation,Business Room,spring,weekday,60,7,7,2,0,155,0.262
735,business_traveler,Junior Suite,fall,weekday,3,5,6,3,1,69,0.565
761,group_friends,Presidential Suite,fall,weekday,60,5,6,3,0,278,0.611
526,business_traveler,Deluxe Room,winter,weekday,1,6,5,3,1,216,0.398
891,budget_conscious,Family Suite,fall,weekend,90,6,2,2,0,97,0.327
306,budget_conscious,Standard Room,winter,weekend,7,3,8,2,0,140,0.294
120,couple_romantic,Standard Room,summer,weekend,7,7,5,2,0,263,0.34
835,luxury_seeker,Executive Suite,summer,weekday,60,4,5,4,1,308,0.724
650,family_vacation,Standard Room,spring,weekend,7,3,8,2,0,240,0.301
824,business_traveler,Presidential Suite,summer,weekend,90,1,4,3,1,257,0.6
